Length	Freq
1	18
2	67
3	547
4	2084
5	4276
6	7446
7	10201
8	12376
9	13255
10	12335
11	10228
12	7707
13	5457
14	3449
15	2119
16	1171
17	670
18	328
19	181
20	85
21	41
22	18
23	6
24	1
28	1
