vowel_length	Freq
1	5
2	49
3	225
4	524
5	1379
6	2834
7	4308
8	6089
9	7146
10	7800
11	6922
12	5804
13	4214
14	2888
15	1775
16	1054
17	554
18	260
19	152
20	62
21	18
22	6
23	2
28	1
